age,age_of_english_onset,audio_url,birth_place,english_learning_method,english_residence,has_ipa,language,length_english_residence_years,native_language,note,other_languages,page_url,sample_id,sex,speaker_num,tier
22.0,14.0,https://accent.gmu.edu/audio/dutch34.mp3,"bornem, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch34/,dutch34,female,34,primary
21.0,13.0,https://accent.gmu.edu/audio/dutch35.mp3,"mortsel, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch35/,dutch35,female,35,primary
21.0,12.0,https://accent.gmu.edu/audio/dutch36.mp3,"turnhout, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german swedish,https://accent.gmu.edu/samples/dutch36/,dutch36,female,36,primary
21.0,11.0,https://accent.gmu.edu/audio/dutch37.mp3,"antwerp, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch37/,dutch37,female,37,primary
21.0,12.0,https://accent.gmu.edu/audio/dutch38.mp3,"beveren, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch38/,dutch38,female,38,primary
22.0,10.0,https://accent.gmu.edu/audio/dutch39.mp3,"hardinxveld-giessendam, netherlands",academic,N/A,True,dutch,0.0,dutch,residence 0y,german french,https://accent.gmu.edu/samples/dutch39/,dutch39,female,39,primary
25.0,9.0,https://accent.gmu.edu/audio/dutch40.mp3,"dordrecht, netherlands",academic,N/A,True,dutch,0.0,dutch,residence 0y,german french,https://accent.gmu.edu/samples/dutch40/,dutch40,male,40,primary
41.0,13.0,https://accent.gmu.edu/audio/dutch41.mp3,"deventer, netherlands",academic,usa,True,dutch,3.0,dutch,residence 3y,french german,https://accent.gmu.edu/samples/dutch41/,dutch41,male,41,primary
36.0,8.0,https://accent.gmu.edu/audio/dutch42.mp3,"schiedam, netherlands",academic,usa,True,dutch,13.5,dutch,residence 13.5y (over 5y threshold),french german,https://accent.gmu.edu/samples/dutch42/,dutch42,male,42,relaxed_residence
21.0,11.0,https://accent.gmu.edu/audio/dutch43.mp3,"rotterdam, netherlands",academic,usa,False,dutch,0.5,dutch,residence 0.5y,french german,https://accent.gmu.edu/samples/dutch43/,dutch43,male,43,primary
21.0,12.0,https://accent.gmu.edu/audio/dutch44.mp3,"antwerp, belgium",academic,N/A,False,dutch,0.0,dutch,residence 0y,german french spanish,https://accent.gmu.edu/samples/dutch44/,dutch44,female,44,primary
22.0,2.0,https://accent.gmu.edu/audio/dutch45.mp3,"sint niklaas, belgium",naturalistic,N/A,False,dutch,0.0,dutch,residence 0y,french latin german spanish hebrew,https://accent.gmu.edu/samples/dutch45/,dutch45,male,45,primary
22.0,12.0,https://accent.gmu.edu/audio/dutch46.mp3,"hulshout, belgium",academic,N/A,False,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch46/,dutch46,female,46,primary
37.0,11.0,https://accent.gmu.edu/audio/dutch47.mp3,"gouda, netherlands",academic,"usa, uk, australia, south africa",False,dutch,2.5,dutch,residence 2.5y,german french italian spanish,https://accent.gmu.edu/samples/dutch47/,dutch47,female,47,primary
50.0,12.0,https://accent.gmu.edu/audio/dutch48.mp3,"zwolle, netherlands",academic,usa,False,dutch,6.0,dutch,residence 6y (over 5y threshold),german french,https://accent.gmu.edu/samples/dutch48/,dutch48,male,48,relaxed_residence
42.0,12.0,https://accent.gmu.edu/audio/dutch49.mp3,"velsen, netherlands",academic,usa,False,dutch,6.0,dutch,residence 6y (over 5y threshold),german french,https://accent.gmu.edu/samples/dutch49/,dutch49,female,49,relaxed_residence
35.0,9.5,https://accent.gmu.edu/audio/dutch50.mp3,"tilburg, netherlands",academic,N/A,False,dutch,0.0,dutch,residence 0y,frisian afrikaans german french esperanto,https://accent.gmu.edu/samples/dutch50/,dutch50,male,50,primary
49.0,13.0,https://accent.gmu.edu/audio/dutch51.mp3,"deventer, netherlands",academic,usa,False,dutch,10.0,dutch,residence 10y (over 5y threshold),german french,https://accent.gmu.edu/samples/dutch51/,dutch51,male,51,relaxed_residence
20.0,10.0,https://accent.gmu.edu/audio/dutch52.mp3,"amsterdam, netherlands",academic,usa,False,dutch,1.5,dutch,residence 1.5y,french german arabic,https://accent.gmu.edu/samples/dutch52/,dutch52,female,52,primary
58.0,10.0,https://accent.gmu.edu/audio/dutch53.mp3,"delft, netherlands",academic,usa,False,dutch,35.0,dutch,residence 35y (over 5y threshold),german french spanish,https://accent.gmu.edu/samples/dutch53/,dutch53,female,53,relaxed_residence
28.0,14.0,https://accent.gmu.edu/audio/dutch54.mp3,"ghent, belgium",academic,usa,False,dutch,0.2,dutch,residence 0.2y,none,https://accent.gmu.edu/samples/dutch54/,dutch54,female,54,primary
26.0,13.0,https://accent.gmu.edu/audio/mandarin1.mp3,"shanxi province, shanxi, china",academic,usa,True,mandarin,2.0,mandarin,residence 2y,none,https://accent.gmu.edu/samples/mandarin1/,mandarin1,female,1,primary
38.0,14.0,https://accent.gmu.edu/audio/mandarin2.mp3,"nanjing, china",academic,usa,True,mandarin,0.8,mandarin,residence 0.8y,japanese,https://accent.gmu.edu/samples/mandarin2/,mandarin2,female,2,primary
43.0,10.0,https://accent.gmu.edu/audio/mandarin3.mp3,"jilin city, jilin, china",academic,usa,True,mandarin,14.0,mandarin,residence 14y (over 5y threshold),italian german french,https://accent.gmu.edu/samples/mandarin3/,mandarin3,male,3,relaxed_residence
24.0,6.0,https://accent.gmu.edu/audio/mandarin4.mp3,"shanghai, china",academic,usa,True,mandarin,1.0,mandarin,residence 1y,japanese,https://accent.gmu.edu/samples/mandarin4/,mandarin4,female,4,primary
31.0,12.0,https://accent.gmu.edu/audio/mandarin5.mp3,"beijing, china",academic,usa,True,mandarin,2.0,mandarin,residence 2y,none,https://accent.gmu.edu/samples/mandarin5/,mandarin5,female,5,primary
28.0,12.0,https://accent.gmu.edu/audio/mandarin6.mp3,"le shan, sichuan, china",academic,usa,True,mandarin,5.0,mandarin,residence 5y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin6/,mandarin6,female,6,relaxed_residence
22.0,5.0,https://accent.gmu.edu/audio/mandarin7.mp3,"berkeley, california, usa",naturalistic,usa,True,mandarin,22.0,mandarin,residence 22y (over 5y threshold),mandarin,https://accent.gmu.edu/samples/mandarin7/,mandarin7,male,7,relaxed_residence
29.0,12.0,https://accent.gmu.edu/audio/mandarin8.mp3,"jingmen, hubei, china",academic,usa,True,mandarin,5.0,mandarin,residence 5y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin8/,mandarin8,male,8,relaxed_residence
38.0,12.0,https://accent.gmu.edu/audio/mandarin9.mp3,"shanghai, china",academic,usa,True,mandarin,2.0,mandarin,residence 2y,none,https://accent.gmu.edu/samples/mandarin9/,mandarin9,male,9,primary
19.0,3.0,https://accent.gmu.edu/audio/mandarin10.mp3,"beijing, china",academic,south africa,True,mandarin,3.75,mandarin,residence 3.75y,none,https://accent.gmu.edu/samples/mandarin10/,mandarin10,male,10,primary
53.0,13.0,https://accent.gmu.edu/audio/mandarin11.mp3,"kao-hsiung, taiwan",academic,usa,True,mandarin,33.0,mandarin,residence 33y (over 5y threshold),cantonese,https://accent.gmu.edu/samples/mandarin11/,mandarin11,female,11,relaxed_residence
23.0,1.0,https://accent.gmu.edu/audio/mandarin12.mp3,"singapore, singapore",naturalistic,"singapore, uk",True,mandarin,23.0,mandarin,residence 23y (over 5y threshold),cantonese spanish french,https://accent.gmu.edu/samples/mandarin12/,mandarin12,male,12,relaxed_residence
29.0,13.0,https://accent.gmu.edu/audio/mandarin13.mp3,"nantou, taiwan",academic,N/A,True,mandarin,0.0,mandarin,residence 0y,taiwanese,https://accent.gmu.edu/samples/mandarin13/,mandarin13,male,13,primary
49.0,20.0,https://accent.gmu.edu/audio/mandarin14.mp3,"dalian, liaoning, china",academic,usa,True,mandarin,21.0,mandarin,residence 21y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin14/,mandarin14,male,14,relaxed_residence
28.0,11.0,https://accent.gmu.edu/audio/mandarin15.mp3,"tainan, taiwan",academic,"new zealand, usa, uk",True,mandarin,4.0,mandarin,residence 4y,french swedish japanese,https://accent.gmu.edu/samples/mandarin15/,mandarin15,female,15,primary
32.0,10.0,https://accent.gmu.edu/audio/mandarin16.mp3,"taipei, taiwan",academic,usa,True,mandarin,1.35,mandarin,residence 1.35y,taiwanese japanese,https://accent.gmu.edu/samples/mandarin16/,mandarin16,male,16,primary
26.0,13.0,https://accent.gmu.edu/audio/mandarin17.mp3,"wuhan, hubei, china",academic,canada,True,mandarin,2.0,mandarin,residence 2y,none,https://accent.gmu.edu/samples/mandarin17/,mandarin17,male,17,primary
29.0,13.0,https://accent.gmu.edu/audio/mandarin18.mp3,"taoyuan, taiwan",academic,N/A,True,mandarin,0.0,mandarin,residence 0y,hakka,https://accent.gmu.edu/samples/mandarin18/,mandarin18,female,18,primary
27.0,13.0,https://accent.gmu.edu/audio/mandarin19.mp3,"qinzhou, guangxi, china",academic,australia,True,mandarin,0.33,mandarin,residence 0.33y,none,https://accent.gmu.edu/samples/mandarin19/,mandarin19,male,19,primary
40.0,12.0,https://accent.gmu.edu/audio/mandarin20.mp3,"ping tong, taiwan",academic,usa,True,mandarin,5.0,mandarin,residence 5y (over 5y threshold),russian,https://accent.gmu.edu/samples/mandarin20/,mandarin20,female,20,relaxed_residence
38.0,9.0,https://accent.gmu.edu/audio/mandarin21.mp3,"chengdu, sichuan, china",academic,usa,True,mandarin,13.0,mandarin,residence 13y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin21/,mandarin21,female,21,relaxed_residence
39.0,11.0,https://accent.gmu.edu/audio/mandarin22.mp3,"haikou, hainan, china",academic,usa,True,mandarin,3.0,mandarin,residence 3y,cantonese taiwanese,https://accent.gmu.edu/samples/mandarin22/,mandarin22,female,22,primary
46.0,13.0,https://accent.gmu.edu/audio/mandarin23.mp3,"kao-hsiung, taiwan",academic,usa,True,mandarin,22.0,mandarin,residence 22y (over 5y threshold),cantonese taiwanese,https://accent.gmu.edu/samples/mandarin23/,mandarin23,female,23,relaxed_residence
21.0,10.0,https://accent.gmu.edu/audio/mandarin24.mp3,"shanghai, china",academic,N/A,True,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin24/,mandarin24,female,24,primary
28.0,13.0,https://accent.gmu.edu/audio/mandarin25.mp3,"wuxi, jiangsu, china",academic,usa,True,mandarin,0.8,mandarin,residence 0.8y,german,https://accent.gmu.edu/samples/mandarin25/,mandarin25,female,25,primary
31.0,12.0,https://accent.gmu.edu/audio/mandarin26.mp3,"emei, sichuan, china",academic,usa,True,mandarin,3.0,mandarin,residence 3y,none,https://accent.gmu.edu/samples/mandarin26/,mandarin26,female,26,primary
18.0,15.0,https://accent.gmu.edu/audio/mandarin27.mp3,"chengdu, sichuan, china",academic,usa,True,mandarin,3.0,mandarin,residence 3y,none,https://accent.gmu.edu/samples/mandarin27/,mandarin27,male,27,primary
45.0,15.0,https://accent.gmu.edu/audio/mandarin28.mp3,"shanghai, china",academic,usa,True,mandarin,20.0,mandarin,residence 20y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin28/,mandarin28,male,28,relaxed_residence
24.0,4.0,https://accent.gmu.edu/audio/mandarin29.mp3,"lanzhou, gansu, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin29/,mandarin29,male,29,primary
27.0,13.0,https://accent.gmu.edu/audio/mandarin30.mp3,"taipei, taiwan",academic,usa,False,mandarin,1.0,mandarin,residence 1y,none,https://accent.gmu.edu/samples/mandarin30/,mandarin30,male,30,primary
26.0,13.0,https://accent.gmu.edu/audio/mandarin31.mp3,"wenzhou, zhejiang, china",academic,usa,False,mandarin,2.5,mandarin,residence 2.5y,none,https://accent.gmu.edu/samples/mandarin31/,mandarin31,female,31,primary
23.0,12.0,https://accent.gmu.edu/audio/mandarin32.mp3,"taipei, taiwan",academic,usa,False,mandarin,2.0,mandarin,residence 2y,japanese,https://accent.gmu.edu/samples/mandarin32/,mandarin32,female,32,primary
25.0,6.0,https://accent.gmu.edu/audio/mandarin33.mp3,"beijing, china",naturalistic,"thailand, australia, usa",False,mandarin,20.0,mandarin,residence 20y (over 5y threshold),french,https://accent.gmu.edu/samples/mandarin33/,mandarin33,male,33,relaxed_residence
31.0,13.0,https://accent.gmu.edu/audio/mandarin34.mp3,"shi jia zhuang, hebei, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,japanese,https://accent.gmu.edu/samples/mandarin34/,mandarin34,female,34,primary
27.0,12.0,https://accent.gmu.edu/audio/mandarin35.mp3,"yantai, shandong, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,japanese,https://accent.gmu.edu/samples/mandarin35/,mandarin35,female,35,primary
32.0,10.0,https://accent.gmu.edu/audio/mandarin36.mp3,"beijing, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin36/,mandarin36,female,36,primary
32.0,12.0,https://accent.gmu.edu/audio/mandarin37.mp3,"huhot, nei meng gu, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin37/,mandarin37,female,37,primary
33.0,12.0,https://accent.gmu.edu/audio/mandarin38.mp3,"changsha, hunan, china",academic,"australia, usa",False,mandarin,0.1,mandarin,residence 0.1y,none,https://accent.gmu.edu/samples/mandarin38/,mandarin38,female,38,primary
24.0,12.0,https://accent.gmu.edu/audio/mandarin39.mp3,"tie ling, liaoning, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,russian,https://accent.gmu.edu/samples/mandarin39/,mandarin39,female,39,primary
28.0,12.0,https://accent.gmu.edu/audio/mandarin40.mp3,"chengdu, sichuan, china",academic,"singapore, usa",False,mandarin,9.0,mandarin,residence 9y (over 5y threshold),japanese thai,https://accent.gmu.edu/samples/mandarin40/,mandarin40,male,40,relaxed_residence
34.0,13.0,https://accent.gmu.edu/audio/mandarin41.mp3,"songyuan, jilin, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin41/,mandarin41,female,41,primary
47.0,16.0,https://accent.gmu.edu/audio/mandarin42.mp3,"yanbian, jilin, china",academic,N/A,True,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin42/,mandarin42,female,42,primary
24.0,15.0,https://accent.gmu.edu/audio/mandarin43.mp3,"datong, shanxi, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin43/,mandarin43,female,43,primary
21.0,16.0,https://accent.gmu.edu/audio/mandarin44.mp3,"hangzhou, zhejiang, china",academic,usa,False,mandarin,1.5,mandarin,residence 1.5y,none,https://accent.gmu.edu/samples/mandarin44/,mandarin44,male,44,primary
42.0,12.0,https://accent.gmu.edu/audio/mandarin45.mp3,"beijing, china",academic,"usa, australia",False,mandarin,0.1,mandarin,residence 0.1y,none,https://accent.gmu.edu/samples/mandarin45/,mandarin45,female,45,primary
43.0,9.0,https://accent.gmu.edu/audio/mandarin46.mp3,"jilin city, jilin, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,arabic,https://accent.gmu.edu/samples/mandarin46/,mandarin46,female,46,primary
28.0,8.0,https://accent.gmu.edu/audio/mandarin47.mp3,"beijing, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,japanese french,https://accent.gmu.edu/samples/mandarin47/,mandarin47,female,47,primary
37.0,12.0,https://accent.gmu.edu/audio/mandarin48.mp3,"pingdingshan, henan, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin48/,mandarin48,male,48,primary
21.0,10.0,https://accent.gmu.edu/audio/mandarin49.mp3,"shanghai, china",academic,australia,False,mandarin,2.5,mandarin,residence 2.5y,french,https://accent.gmu.edu/samples/mandarin49/,mandarin49,male,49,primary
25.0,9.0,https://accent.gmu.edu/audio/mandarin50.mp3,"hsinchu, taiwan",academic,usa,False,mandarin,0.2,mandarin,residence 0.2y,taiwanese,https://accent.gmu.edu/samples/mandarin50/,mandarin50,male,50,primary
25.0,10.0,https://accent.gmu.edu/audio/mandarin51.mp3,"tianjin, hebei, china",academic,usa,True,mandarin,2.0,mandarin,residence 2y,none,https://accent.gmu.edu/samples/mandarin51/,mandarin51,male,51,primary
26.0,6.0,https://accent.gmu.edu/audio/mandarin52.mp3,"shaoxing, zhejiang, china",academic,usa,True,mandarin,1.0,mandarin,residence 1y,japanese,https://accent.gmu.edu/samples/mandarin52/,mandarin52,female,52,primary
38.0,13.0,https://accent.gmu.edu/audio/mandarin53.mp3,"ningbo, zhejiang, china",academic,usa,False,mandarin,15.0,mandarin,residence 15y (over 5y threshold),none,https://accent.gmu.edu/samples/mandarin53/,mandarin53,female,53,relaxed_residence
25.0,10.0,https://accent.gmu.edu/audio/mandarin54.mp3,"chengdu, sichuan, china",academic,usa,False,mandarin,5.0,mandarin,residence 5y (over 5y threshold),japanese,https://accent.gmu.edu/samples/mandarin54/,mandarin54,female,54,relaxed_residence
25.0,13.0,https://accent.gmu.edu/audio/mandarin55.mp3,"loudi, hunan, china",academic,usa,False,mandarin,1.5,mandarin,residence 1.5y,japanese spanish,https://accent.gmu.edu/samples/mandarin55/,mandarin55,female,55,primary
26.0,11.0,https://accent.gmu.edu/audio/mandarin56.mp3,"baoding, hebei, china",academic,usa,False,mandarin,0.7,mandarin,residence 0.7y,korean thai,https://accent.gmu.edu/samples/mandarin56/,mandarin56,female,56,primary
20.0,12.0,https://accent.gmu.edu/audio/mandarin57.mp3,"shanghai, china",academic,uk,False,mandarin,0.2,mandarin,residence 0.2y,cantonese,https://accent.gmu.edu/samples/mandarin57/,mandarin57,male,57,primary
23.0,7.0,https://accent.gmu.edu/audio/mandarin58.mp3,"superior, colorado, usa",naturalistic,usa,False,mandarin,16.0,mandarin,residence 16y (over 5y threshold),french,https://accent.gmu.edu/samples/mandarin58/,mandarin58,male,58,relaxed_residence
20.0,6.0,https://accent.gmu.edu/audio/mandarin59.mp3,"kunming, yunnan, china",academic,usa,False,mandarin,0.4,mandarin,residence 0.4y,none,https://accent.gmu.edu/samples/mandarin59/,mandarin59,female,59,primary
41.0,13.0,https://accent.gmu.edu/audio/mandarin60.mp3,"guiyang, guizhou, china",academic,usa,False,mandarin,15.0,mandarin,residence 15y (over 5y threshold),cantonese,https://accent.gmu.edu/samples/mandarin60/,mandarin60,female,60,relaxed_residence
33.0,16.0,https://accent.gmu.edu/audio/mandarin61.mp3,"shangrao, jiangxi, china",academic,northern mariana islands,False,mandarin,17.0,mandarin,residence 17y (over 5y threshold),cantonese,https://accent.gmu.edu/samples/mandarin61/,mandarin61,female,61,relaxed_residence
24.0,7.0,https://accent.gmu.edu/audio/mandarin62.mp3,"shanghai, china",academic,usa,False,mandarin,5.5,mandarin,residence 5.5y (over 5y threshold),spanish,https://accent.gmu.edu/samples/mandarin62/,mandarin62,male,62,relaxed_residence
27.0,12.0,https://accent.gmu.edu/audio/mandarin63.mp3,"jiaozuo, henan, china",academic,usa,False,mandarin,4.3,mandarin,residence 4.3y,french,https://accent.gmu.edu/samples/mandarin63/,mandarin63,male,63,primary
24.0,10.0,https://accent.gmu.edu/audio/mandarin64.mp3,"fuzhou, fujian, china",academic,usa,False,mandarin,5.0,mandarin,residence 5y (over 5y threshold),min dong,https://accent.gmu.edu/samples/mandarin64/,mandarin64,female,64,relaxed_residence
20.0,5.0,https://accent.gmu.edu/audio/mandarin65.mp3,"tianjin, hebei, china",academic,usa,False,mandarin,1.7,mandarin,residence 1.7y,french,https://accent.gmu.edu/samples/mandarin65/,mandarin65,female,65,primary
22.0,19.0,https://accent.gmu.edu/audio/mandarin66.mp3,"shanghai, china",academic,usa,False,mandarin,3.0,mandarin,residence 3y,spanish,https://accent.gmu.edu/samples/mandarin66/,mandarin66,female,66,primary
23.0,13.0,https://accent.gmu.edu/audio/mandarin67.mp3,"nanjing, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin67/,mandarin67,male,67,primary
23.0,10.0,https://accent.gmu.edu/audio/mandarin68.mp3,"dongyang, zhejiang, china",academic,N/A,False,mandarin,0.0,mandarin,residence 0y,none,https://accent.gmu.edu/samples/mandarin68/,mandarin68,male,68,primary
